id,idno,nation_abbreviation,statement_title,database,data_url,nation_name,year,producers_name,entity_name,entity_contact,abstract,coll_dates,analysis_unit,geog_coverage,data_kind,notes,method_data_collectors_name,method_sampling,method_coll_mode,method_research_instrument,method_weight,cit_req,disclaimer,project_specific,idp,Longitude,Latitude,Region,Economy,income_group,original,country_of_birth,country_of_citizenship,acquisition_of_citizenship,date_arrival,reason_for_migration,place_of_birth,date_of_first_dp,date_of_recent_dp,main_reason_initial,main_reason_recent,loc_habit,loc_usual,Region_v2,tag_new_food_insecurity,tag_new_health,tag_new_water_sanitation,tag_new_education,tag_new_welfare,tag_new_labor_employment,tag_new_finance_credit_debt,tag_new_protection,tag_new_gender,tag_new_safety_security_conflict,tag_new_housing_assets,tag_new_shocks,tag_new_agriculture_livestock_fishery,tag_new_subjective_poverty,tag_new_coping_mechanisms,tag_new_demographics,tag_new_social,tag_new_remmitance,tag_new_child_labor,tag_new_migration
1045,UNHCR_AFG_2022_RAM_anon_data_v2.1,AFG,Emergency Shelter Rapid Assessment Mechanism 2022,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/1045,Afghanistan,2022,UNHCR,UNHCR,Curation team/UNHCR/microdata@unhcr.org,"According to the Afghanistan Humanitarian Needs Overview 2023, 28.3 million people need humanitarian assistance with 9.7
million need Emergency Shelter and Non-Food Items (ES/NFI) assistance. The Rapid Assessment Mechanism (RAM) aims to provide a structured and
standardized approach to identify and prioritize the population most in need of ES/NFI assistance as well as to inform allocations. Two rounds of  data collection were
completed in April and November 2022. In March April 10,900 interviews were conducted by 38 partners. In the following 2nd round, 8200 interviews were conducted. The survey covered 109 prioritised sites.
84% of surveyed households reported that they were unable to repair their shelter because of financial barriers.  81% reported not having sufficient winter clothes and 77% reported not having enough
heating devices. Furthermore, 35% said they felt unsafe in their shelters.",2022-04-03-2022-12-01,Households,266 districts of Afghanistan,Sample survey data [ssd],"The survey was conducted with one focal point from each household. The survey covers the following:
  1. Other sectoral needs
  2. Shelter needs
  3. Winterisation and WASH needs
  4. Economic profile
  5. Protection Incidents",REACH,Area-based sampling,Face-to-face,NA,NA,UNHCR (2022). Afghanistan: Emergency Shelter Rapid Assessment Mechanism 2022. Accessed from: https://microdata.unhcr.org,NA,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asia,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
678,UNHCR_AFG_2021_PARR_December_HH_v2.1,AFG,"Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - December 2021",UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/678,Afghanistan,2021,UNHCR,UNHCR;IMPACT,Curation team/UNHCR/microdata@unhcr.org,"Since 2017, the United Nations High Commissioner for Refugees (UNHCR) has been supporting durable solutions aimed at returns and reintegration through its Community based Protection and Solutions Programme Response (Co-PROSPER) in Priority Areas of Return and Reintegration (PARR). 
Initially supporting 1,347,207 individuals in 20 PARR locations in 11 provinces, in 2021, the programme was then further expanded in December 2021 to an additional 1,423,775 individuals in another 20 PARR locations in 19 provinces. In order to establish a baseline for the population prior to intervention, IMPACT conducted a Socio-Economic Vulnerability Assessment (SEVA) of the 20 locations. 
Between 22 November and 5 December 2021, IMPACT interviewed 2,031 households in each of the 20 new PARR locations on household vulnerabilities, community leadership inclusivity, service quality and access, livelihoods and economic outlook, and community relations and stability. 
  The following preliminary findings note shares the key findings from the assessment, to provide an understanding of the overall level of integration of households living in the new PARRs",2021-11-22-2021-12-05,Households,"Shash Pool and Qashqa, Nilli, Tarakhail Daag, Ghaziabad, Aka Khail Area, Laghmani, Qala-e-Nasro & Bini Warsak, Majboorabad, Charbagh, Daman, Shekh Mesri, Aziz Khan Kas, Noor Abad, Sakhi Camp & Qalin Bafan, Sher Khan Bandar, Loya Wala, Mirwais Mina, Kahdistan, Jebrial",Sample survey data [ssd],"The scope includes: 
- displacement status 
- displacement intentions 
- local community structures 
- Women's Empowerment 
- conflict resolution mechanisms 
- Employment and Livelihoods Opportunities 
- Cooperatives 
- Education 
- Access to health 
- Protecion 
- Shelter (housing, land and property) 
- PARR Impact",IMPACT,"The assessment was implemented through a simple random sampling approach as a site-level household representative survey that was statistically representative at site level for each of the 20 PARR locations. 
  In coordination with UNHCR and its partners, IMPACT developed a set of key indicators through which to conduct a Socioeconomic Vulnerability Assessment (SEVA) of household conditions across four key indices: 1) Community Leadership Inclusivity, 2) Service Quality and Access, 3) Livelihoods and Economic Outlook, and 4) Community Relations and Stability, as well as Key Vulnerability metrics. 
  These were administered as a household tool by trained enumerators to a random sample of households in each PARR location. Findings are statistically representative with a 95% confidence level and 10% margin of error for each of the 20 assessed PARR locations. at an aggregated level, findings are statistically representative with a 95% confidence level and a 5% margin of error for each population group, as well as the entire sample, at an aggregated level, without disaggregating by site. 
  Sampling at site level: To sample at site level, enumerators started at the edge of the PARR location, and walked towards the centre, skipping a fixed number of households based on the population between interviews as the went. When they reached the middle of the PARR location, then would then turn around and travel back to their starting point, skipping  the same number of households as they went. Population data used for the sampling frames came from UNHCR's Reintegration and Partnerships Unit. 
  Only respondents above the age of 18, who either were the head o the household or could reasonably speak for them, were interviewed. Enumerators teams included both men and women to ensure that women could be interviewed, ensuring female voices in the data. In total, 25% of respondents were female.
  Analysis: Data was weighted and analyzed by site population. For key indices to measure the four indices for reintegration, and the vulnerability metrics, composite indicators to weight responses based on their severity were created and validated by IMPACT's Global office in Geneva and UNHCR in Kabul.",Face-to-face,NA,NA,"UNHCR, IMPACT (2021). Afghanistan: Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - December 2021. Accessed from: https://microdata.unhcr.org",NA,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,South Asia,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
675,UNHCR_AFG_2021_PARR_March_HH_v2.1,AFG,"Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - March 2021",UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/675,Afghanistan,2021,UNHCR,UNHCR;IMPACT,Curation team/UNHCR/microdata@unhcr.org,"Following the influx of refugee-returnees from Pakistan and Iran in 2016, UNHCR has been supporting the Government of the Islamic Republic of Afghanistan's (GoIRA) Ministry of Refugees and Repatriation (MoRR) through a series of programmes aimed at providing durable solutions for returnees and long-term displaced populations in Afghanistan. 20 locations were identified by UNHCR and GoIRA as Priority Areas of Return and Reintegration (PARR locations). In these locations, large populations of refugee-returnees, internally displaced persons (IDPs) and host communities live together. Within these PARR locations, UNHCR implemented its short and medium-term Community-based Protection and Solutions Programme Response (CO-PROSPER) programmes to promote long-term development initiatives. UNHCR aimed to develop an area-based, humanitarian-development-peace triple nexus response to support durable solutions and create conducive conditions for the sustainable reintegration of displaced persons.
To understand the impact of these programmes on the PARR locations, IMPACT Initiatives (IMPACT) conducted an evaluation of the impact of the programmes in PARR locations across four different dimensions: 1) community leadership inclusivity, 2) strengthening public services and equitable access, 3) income generation and economic empowerment, and 4) peacebuilding, and created indices to measure progress over these four key objectives that can be compared against the programme goals. 
In order to conduct this assessment, a mixed-method approach was used with two structured tools with separate methodologies to assess each site as follows. 
A HH level tool was used to interview a representative sample of HHs in each of the 20 PARR locations, with a 95% confidence level and a 10% margin of error. While aggregated (to the overall HH level) results are representative by population group (IDPs, refugee-returnees, and host communities) and by location, findings per population group in the locations are indicative only. 
  Household data collection took place from 20 February to 4 March 2021. A total of 2,039 households in representing a total population of 1,347,207 people (approximately 192,458 households) across 20 PARR locations were interviewed.",2021-02-20-2021-03-04,Households,"Shash Pool and Qashqa, Nilli, Tarakhail Daag, Ghaziabad, Aka Khail Area, Laghmani, Qala-e-Nasro & Bini Warsak, Majboorabad, Charbagh, Daman, Shekh Mesri, Aziz Khan Kas, Noor Abad, Sakhi Camp & Qalin Bafan, Sher Khan Bandar, Loya Wala, Mirwais Mina, Kahdistan, Jebrial",Sample survey data [ssd],"The scope includes: 
- displacement status 
- displacement intentions 
- local community structures 
- Women's Empowerment 
- conflict resolution mechanisms 
- Employment and Livelihoods Opportunities 
- Cooperatives 
- Education 
- Access to health 
- Protecion 
- Shelter (housing, land and property) 
- PARR Impact",IMPACT,"The assessment was implemented through a simple random sampling approach as a site-level household representative survey that was statistically representative at site level for each of the 20 PARR locations. 
  In coordination with UNHCR and its partners, IMPACT developed a set of key indicators through which to conduct a Socioeconomic Vulnerability Assessment (SEVA) of household conditions across four key indices: 1) Community Leadership Inclusivity, 2) Service Quality and Access, 3) Livelihoods and Economic Outlook, and 4) Community Relations and Stability, as well as Key Vulnerability metrics. 
  These were administered as a household tool by trained enumerators to a random sample of households in each PARR location. Findings are statistically representative with a 95% confidence level and 10% margin of error for each of the 20 assessed PARR locations. at an aggregated level, findings are statistically representative with a 95% confidence level and a 5% margin of error for each population group, as well as the entire sample, at an aggregated level, without disaggregating by site. 
  Sampling at site level: To sample at site level, enumerators started at the edge of the PARR location, and walked towards the centre, skipping a fixed number of households based on the population between interviews as the went. When they reached the middle of the PARR location, then would then turn around and travel back to their starting point, skipping  the same number of households as they went. Population data used for the sampling frames came from UNHCR's Reintegration and Partnerships Unit. 
  Only respondents above the age of 18, who either were the head o the household or could reasonably speak for them, were interviewed. Enumerators teams included both men and women to ensure that women could be interviewed, ensuring female voices in the data. In total, 25% of respondents were female.
  Analysis: Data was weighted and analyzed by site population. For key indices to measure the four indices for reintegration, and the vulnerability metrics, composite indicators to weight responses based on their severity were created and validated by IMPACT's Global office in Geneva and UNHCR in Kabul.",Face-to-face,NA,NA,"UNHCR, IMPACT (2021). Afghanistan: Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - March 2021. Accessed from: https://microdata.unhcr.org",NA,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,South Asia,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
879,UNHCR_AFG_2021_pm_anon_data_v2.1,AFG,Protection Monitoring 2021,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/879,Afghanistan,2021,UNHCR,UNHCR,Curation team/UNHCR/microdata@unhcr.org,"The people of Afghanistan are facing a humanitarian, human rights and protection crisis. The numbers are overwhelming: 97% of Afghans could potentially plunge into poverty by mid-2022 and half the country’s population is in need of humanitarian assistance. Following the record displacement of nearly 700,000 people in 2021, some 9.2 million IDPs and returnees remain in some form of displacement and in need of support to return where possible. These staggeringly high levels of displacement are fueling a range of protection risks, particularly for undocumented Afghans returning to the country, including those deported from neighbouring countries. 
  Massive economic contraction along with crisis in banking and financial system, severe drought and rising food prices, has meant people have resorted increasingly to negative coping strategies. Despite the significant decrease in the overall level of conflict and number of civilian casualties following the changes in the political environment since 15 August 2021, threats to the civilian population in Afghanistan persist including the killing and injury of civilians, high levels of explosive ordnance contamination, forced displacement, gender-based violence and violations against children.
  The report was prepared in collaboration with six partners undertaking protection monitoring: DRC, IOM, IRC, NRC, CORDAid and UNHCR, using the data collected in 2021 from 37,258 households.",2021-01-01-2021-12-31,Households,The survey covers returnee households returned to Afghanistan during 2021,Sample survey data [ssd],"The protection monitoring covers the prioritised risks and threats to population:
  1. Arbitrary arrest, disappearances and killings,
  2. Discriminatory and Punitive Gender Norms, 
  3. Feeling of Safety
  4. Freedom of movement, 
  5. Lack of Civil Documentation,
  6. Presence of Mine and Explosive Hazards
  7. Housing, Land & Property Concerns, 
  As well as coping mechanisms and effects on the population.","UNHCR, IOM, CORDAid, DRC, IRC, NRC",Not Applicable,Face-to-face,NA,Weights assigned as probability of selection based on province of interview and respondents' status,UNHCR (2021). Afghanistan: Protection Monitoring 2021. Accessed from: https://microdata.unhcr.org,NA,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asia,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
880,UNHCR_AFG_2022_seva_anon_data_v2.1,AFG,Social-Economic Vulnerability Assessment 2022,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/880,Afghanistan,2022,UNHCR,REACH,Curation team/UNHCR/microdata@unhcr.org,"UNHCR through REACH/IMPACT Initiative, conducted a Socio-Economic Vulnerability Assessment (SEVA) in 47 Priority Areas of Return and Reintegration (PARRs) across the country. To understand the current status of reintegration for displaced groups prior to Co-PROSPER implementation in the PARR districts, REACH/IMPACT Initiative conducted a baseline evaluation of the 50 newly selected PARR locations across four different dimensions: 1) community leadership inclusivity, 2) community relations and stability, 3) strengthening public services and equitable access, and 4) livelihood and economic outlook. Indices were created to determine a baseline for these four key objectives.
The assessment covered 6,067 HH interviews in 47 PARRs and targeted refugee returnees, IDPs, IDP returnees and host communities. In addition, Neighborhood Maps (nMaps) were developed to identify key infrastructure and services in each PARR.",2022-02-06-2022-02-28,Households,47 Priority Areas of Return and Reintegration (PARR),Census/enumeration data [cen],"The exercise focused on indicators related to: 
  1. access to health care services, 
  2. access to education, 
  3. access to potable water and shelter, 
  4. income source and job opportunities, 
  5. sustainable energy",UNHCR,Two stage cluster sampling based on population size per cluster,Face-to-face,NA,NA,REACH (2022). Afghanistan: Social-Economic Vulnerability Assessment 2022. Accessed from: https://microdata.unhcr.org,NA,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asia,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,UNHCR_AFG_2017_SEA_Herat_v1.2,AFG,Socio-economic assessment of IDPs and returnees in the five most populated settlements of Afghanistan's Herat Province - 2017,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/184,Afghanistan,2017,UNHCR,UNHCR,Solutions/UNHCR/solutions@unhcr.org/,"At the end of 2015, Herat Province was among the highest IDP hosting provinces in Afghanistan, accounting for approximately 10% of the country's IDP population. In order to obtain reliable information on the socio-economic conditions of IDPs and returnees in Herat Province, a comprehensive sample survey was carried out among 11,264 households in the 5 most populated IDP/returnee settlements (Shagofan, Jebraiel, Maslakh, Now Abad and Kahdistan) in 2017.",2017-201,Household and individual,"IDP/returnee settlements Shagofan, Jebrael, Maslakh, Now Abad and Kahdistan (all located in Afghanistan's Herat Province).",Sample survey data [ssd],"The scope of this socio-economic assessment includes: 
- Identification of the household
- Demographic composition of the household
- Information about the wider community
- Access to services (electricity, water, health, education)
- Child education
- Economic activity of the main respondent
- Consumption expenditure
- Skills
- Priority needs",CRDSA,"The survey's objective was to deliver representative data of all IDPs and returnees living in the five most populated IDP/returnee settlements of Afghanistan's Herat Province, namely Shagofan, Jebrael, Maslakh, Now Abad and Kahdistan. The total population of IDPs/returnees in these settlements at the time of the survey was estimated at around 38,700 households.  

For this survey a stratified, single-stage (i.e. non-clustered) sample design was applied. The five settlements were considered sampling strata.  Within each of these strata, a sample of households was drawn systematically (based on alphabetic sort order) from the ""list of inhabitants"".

The total sample size was 11,264 IDP/returnee households. 

NB: The original data collection also included a small number of households from the neighbouring host community; however, these observations were dropped from the public-release version of the dataset.",Face-to-face,"All questionaires are provided in section ""external ressources"".","No weights were aplied during the initial data analysis. However, given that selection probailities differed across sampling strata, the public-release version of the data contains sampling weights calculated ex-post, which data users may wish to apply during further analysis.",UNHCR (2017). Socio-economic assessment of IDPs and returnees in the five most populated settlements of Afghanistan's Herat Province. Accessed from UNHCR's Microdata Library: http://microdata.unhcr.org,UNHCR does not warrant in any way the accuracy of the information and data contained in the datasets and shall not be held liable for any loss caused by reliance on the accuracy or reliability thereof.,0,1,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,South Asia,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,UNHCR-AFG-2017-SEA-KhostPaktika-1.2,AFG,Socio-economic assessment of Pakistani refugees in Afghanistan's Khost and Paktika provinces 2017,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/187,Afghanistan,2017,UNHCR,UNHCR,Solutions/UNHCR/solutions@unhcr.org/,"Afghanistan hosts a protracted population of Pakistani refugees, who fled North Waziristan Agency in 2014 as a result of a joint military offensive by Pakistani government forces against non-state armed groups. As of May 2017, UNHCR has biometrically registered over 50,000 refugees in Khost province and 36,000 refugees in Paktika province, where access remains a challenge. Over 16,000 of these refugees receive shelter and essential services in the Gulan camp in Khost province, while most of the others live among the host population in various urban and rural locations. 
To better understand the needs of the refugees and the host communities, UNHCR and WFP agreed to conduct a joint assessment of Pakistani refugees in Khost and Paktika. The data collection commenced in May 2017 and covered 2,638 refugee households (2,198 in Khost and 440 in Paktika).",2017-05-11-2017-05-2,Household and individual,"Areas hosting Pakistani refugees in Afghanistan's Khost and Paktika provinces. This includes Gulan refugee camp as well as various non-camp sites, spread across 10 districts.",Sample survey data [ssd],"The scope of this socio-economic assessment includes: 
- Identification of the household
- Characteristics of the household head
- Demographic composition of the household
- Housing characteristics
- Access to services
- Asset ownership
- Sources of income
- Consumption expenditure
- Debt
- Agricultural production
- Livestock ownership
- Food consumption groups
- Coping strategies
- Household Hunger Scale
- Shocks
- Child education
- Intentions
- Priority needs",APA,"The survey's objective was to deliver representative data of all Pakistani refugees living in Afghanistan's Khost and Paktika provinces. The total population of Pakistani refugees in these provinces at the time of the survey was estimated at around 18,000 households.  

For this survey a stratified, two-stage (i.e.  clustered) sample design was applied. The 10 refugee-hosting districts of Khost and Paktika were considered sampling strata, but within these the refugee-dense locations of Gulan camp and Lakan (in Maton district) were considered separate strata, resulting in 12 sampling strata overall. Within each of these strata, first a selection of villages was drawn with probability-proportional-to-size, then second a selection of households was drawn from UNHCR's registration database. 

The total sample size was 2,638 refugee households. 

NB: The original data collection also included a small number of households from the neighbouring host communities; however, these observations were dropped from the public-release version of the dataset.",Face-to-face,NA,"No weights were aplied during the initial data analysis. However, given that selection probailities differed across sampling strata, the public-release version of the data contains sampling weights calculated ex-post, which data users may wish to apply during further analysis.",UNHCR (2017) Socio-economic assessment of Pakistani refugees in Afghanistan's Khost and Paktika provinces. UNHCR's Microdata Library: http://microdata.unhcr.ogr,UNHCR does not warrant in any way the accuracy of the information and data contained in the datasets and shall not be held liable for any loss caused by reliance on the accuracy or reliability thereof.,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,South Asia,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
1174,UNHCR_AFG_2023_SP_anon_data_v2.1,AFG,Spatial Profiling of Herat and Kandahar 2023,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/1174,Afghanistan,2023,UNHCR,UNHCR,Curation team/UNHCR/microdata@unhcr.org,"This dataset is a product of the “Spatial Profiling” initiative, a part of the Community-based Protection and Solutions Programme Response (Co-PROSPER). The project aimed to create an enabling protection environment in Kandahar and Herat cities through spatial profiling, which involved mapping city resources and services, UNHCR’s Persons we Serve (PwS) settlement areas, and analyzing the collected data for evidence-based humanitarian response planning.
  Funded by UNHCR, UN-HABITAT conducted spatial profiling of targeted locations in these cities, including Internally Displaced Persons (IDP) and returnees’ camps/settlements. The project also developed new strategic responses through settlement plans for these locations, recommending strategies like provision of basic services such as water, sanitation, access roads, drainage and flood mitigation measures, and shelter.
  The spatial profiling focused on mapping city resources and services, settlement areas including Land Allocation Scheme (LAS) sites, spontaneous settlements of returnees and IDPs, and private housing schemes. The data collected through the profiling was analyzed for evidence-based programming. This dataset is intended to facilitate the development of new settlement plans for selected settlements in cities, aiming to upgrade the settlements of IDPs in target areas and provide durable solutions for the inhabitants.",2023-08-23-2023-12-28,Households,Provinces Herat and Kandahar,Sample survey data [ssd],"The survey was conducted with one focal point from each household. The respondent provides a breakdown of the following:
1. Bio data and displacement history
2. Special needs of household
3. Shelter/Housing
4. Access to Education
5. Access to Healthcare
6. Food Security
7. Community Structures
8. Infrasture and Service Needs",UN Habitat,NA,Face-to-face,NA,NA,UNHCR (2023). Afghanistan: Spatial Profiling of Herat and Kandahar 2023. Accessed from: https://microdata.unhcr.org,NA,0,0,65.93204356729764,33.820741331151886,South Asia,Afghanistan,Low income,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asia,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
492,UNHCR_ARG_2021_HFS_Q1Q2_v2.1,ARG,High Frequency Survey - Q1Q2 2021,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/492,Argentina,2021,UNHCR,UNHCR,Curation team/UNHCR/microdata@unhcr.org,"The data was collected using the High Frequency Survey (HFS), the new regional data collection tool & methodology launched in the Americas. The survey allowed for better reaching populations of interest with new remote modalities (phone interviews and self-administered surveys online) and improved sampling guidance and strategies. It includes a set of standardized regional core questions while allowing for operation-specific customizations. The core questions revolve around populations of interest's demographic profile, difficulties during their journey, specific protection needs, access to documentation & regularization, health access, coverage of basic needs, coping capacity & negative mechanisms used, and well-being & local integration. The data collected has been used by countries in their protection monitoring analysis and vulnerability analysis.",2021-01-01-2021-06-30,Household,National,Multi-frame sampling,"The scope includes: 
- household characteristics 
- demographic profile 
- journey 
- protection needs 
- access to documentation 
- health 
- basic needs 
- coping capacity 
- local integration 
- Covid impact",UNHCR,"In the absence of a well-developed sampling-frame for forcibly displaced populations in the Americas, the High Frequency Survey employed a multi-frame sampling strategy where respondents entered the sample through one of three channels: (i) those who opt-in to complete an online self-administered version of the questionnaire which was widely circulated through refugee social media; (ii) persons identified through UNHCR and partner databases who were remotely-interviewed by phone; and (iii) random selection from the cases approaching UNHCR for registration or assistance. The total sample size was 406 households.",Other [oth],"Questionaire contained the following sections: journey, family composition, vulnerability, basic Needs, coping capacity,well-being,COVID-19 Impact.",NA,UNHCR (2021). Argentina: High Frequency Survey - Q1Q2 2021. Accessed from: https://microdata.unhcr.org,NA,0,0,-64.7608975063592,-34.68940994700003,Latin America & Caribbean,Argentina,Upper middle income,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,Latin America & Caribbean,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
439,UNHCR_ARG_2020_HFS_Q4_v2.1,ARG,High Frequency Survey - Q4 2020,UNHCR MDL,https://microdata.unhcr.org/index.php/catalog/439,Argentina,2020,UNHCR,UNHCR,Curation team/UNHCR/microdata@unhcr.org,"The data was collected using the High Frequency Survey (HFS), the new regional data collection tool & methodology launched in the Americas. The survey allowed for better reaching populations of interest with new remote modalities (phone interviews and self-administered surveys online) and improved sampling guidance and strategies. It includes a set of standardized regional core questions while allowing for operation-specific customizations. The core questions revolve around populations of interest’s demographic profile, difficulties during their journey, specific protection needs, access to documentation & regularization, health access, coverage of basic needs, coping capacity & negative mechanisms used, and well-being & local integration. The data collected has been used by countries in their protection monitoring analysis and vulnerability analysis.",2020-10-01-2020-12-31,Household,National,Multi-frame sampling,"The scope includes: 
- household characteristics 
- demographic profile 
- journey 
- protection needs 
- access to documentation 
- health 
- basic needs 
- coping capacity 
- local integration 
- Covid impact",UNHCR,"In the absence of a well-developed sampling-frame for forcibly displaced populations in the Americas, the High Frequency Survey employed a multi-frame sampling strategy where respondents entered the sample through one of three channels: (i) those who opt-in to complete an online self-administered version of the questionnaire which was widely circulated through refugee social media; (ii) persons identified through UNHCR and partner databases who were remotely-interviewed by phone; and (iii) random selection from the cases approaching UNHCR for registration or assistance. The total sample size was 183 refugee households.",Other [oth],"Questionaire contained the following sections: journey, family composition, vulnerability, basic Needs, coping capacity,well-being,COVID-19 Impact.",NA,"UNHCR: Argentina - High Frequency Survey - Q4 2020. UNHCR microdata library, https://microdata.unhcr.org",NA,0,0,-64.7608975063592,-34.68940994700003,Latin America & Caribbean,Argentina,Upper middle income,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,Latin America & Caribbean,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
